s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X1322	0	1	0	0	1	12	0.739880815139192	0.0089
X1328	0	0	0	0	1	5	0.933889089516944	5e-04
X1331	1	0	0	0	0	1	0.585263897993446	0.0954
X1334	1	0	0	0	0	1	0.619377267885409	0.0616
X1336	1	0	0	0	0	1	0.632271655399749	0.0524
X1341	1	0	0	0	0	1	0.735852871673433	0.0115
X1342	0	1	0	0	0	2	0.986732752439289	9e-04
X1347	0	1	0	0	1	12	0.74861047046955	0.0101
X1348	0	0	1	0	0	3	0.445566394339503	0.3443
X1354	0	0	0	0	1	5	0.418414936648181	0.4857
X1360	1	0	0	0	0	1	0.678610927725801	0.03
X1362	1	0	0	0	0	1	0.567361295828487	0.1128
X1368	1	0	0	0	0	1	0.636287826079552	0.0481
X1369	0	1	0	0	1	12	0.61685370678147	0.0353
X1389	0	1	0	0	0	2	0.786287339137905	0.0017
X1407	1	0	0	0	0	1	0.639009650422694	0.0479
X1408	0	0	0	0	1	5	0.646688371289467	0.0263
X1414	0	1	0	0	1	12	0.68935712907333	0.0238
X1416	1	0	1	0	0	7	0.582440604028178	0.0932
X1421	1	0	0	0	0	1	0.538278543734406	0.1628
X1433	0	1	0	0	0	2	0.610751994759098	0.0241
X1437	1	0	0	0	0	1	0.543350120529778	0.134
X1440	1	0	0	0	0	1	0.663584745376614	0.0318
X1446	0	1	1	0	0	10	0.628938240266714	0.0358
X1447	0	0	1	0	0	3	0.691177985793278	0.0135
X1465	1	0	0	0	0	1	0.598205936942405	0.0718
X1492	1	0	0	0	0	1	0.637571638448271	0.052
X1495	0	1	1	0	1	23	0.511887515558802	0.1907
X1501	0	0	1	0	0	3	0.70025038100047	0.0211
X1507	1	0	0	0	0	1	0.657729383722459	0.0397
X1510	1	0	1	0	0	7	0.553692336783256	0.118
X1511	0	1	0	0	0	2	0.579129200657664	0.0907
X1517	1	0	1	0	0	7	0.635327581250882	0.047
X1532	1	0	0	0	0	1	0.673690290610788	0.0299
X1551	1	0	0	0	0	1	0.560560661663594	0.1176
X1558	0	0	1	0	0	3	0.919972420231884	0.0012
X1561	1	0	1	0	0	7	0.668882248269902	0.0331
X1567	1	0	0	0	0	1	0.553533273243465	0.1281
X1571	0	1	0	0	1	12	0.451028103598142	0.259
X1577	1	0	0	0	0	1	0.655793190579434	0.0409
X1583	0	1	0	0	0	2	0.974992772994738	2e-04
X1631	1	0	1	0	0	7	0.587896351252215	0.0848
X1635	0	0	1	0	0	3	0.940241727607941	9e-04
X1636	0	0	0	0	1	5	0.970752501281232	7e-04
X1650	0	0	0	1	0	4	0.708955429520869	2e-04
X1653	1	0	1	0	0	7	0.513035967846154	0.2001
X1673	1	0	1	0	0	7	0.562652121591877	0.1199
X1694	1	0	0	0	0	1	0.624166862617682	0.0531
X1704	1	0	0	0	0	1	0.603022689155527	0.0703
X1705	1	0	0	0	0	1	0.823499012880474	4e-04
X1714	1	0	1	0	0	7	0.565295722032844	0.1105
X1715	0	1	1	0	0	10	0.637931034482759	0.0405
X1721	0	1	0	0	0	2	0.902419249401454	9e-04
X1723	1	0	0	0	0	1	0.56166915456203	0.0979
X1724	1	0	0	0	0	1	0.574859336644405	0.1021
X1728	0	1	0	0	1	12	0.657722033634241	0.0239
X1750	0	1	0	0	0	2	0.842599318875007	0.0028
X1754	0	1	0	0	0	2	0.865719579514586	0.002
X1800	1	0	0	0	0	1	0.574092588534117	0.0904
X1809	0	1	1	0	1	23	0.529892029221705	0.1021
X1812	0	1	0	0	0	2	0.950003665144667	9e-04
X1819	1	0	0	0	0	1	0.547089519478764	0.1456
X1820	0	0	1	0	0	3	0.933651075857622	0.0013
X1821	0	0	1	0	1	14	0.858532613466012	0.0019
X1839	1	0	1	0	0	7	0.516255579910325	0.1762
X1846	1	0	0	0	0	1	0.668423922776961	0.0286
X1848	1	0	0	1	0	8	0.502273716637878	0.2303
